[2017-10-31 00:39:39] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/Magento/sample_beta/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2017-10-31 00:39:39] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/Magento/sample_beta/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2017-10-31 00:39:39] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/Magento/sample_beta/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2017-10-31 00:39:39] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/Magento/sample_beta/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE_20","FPC"],"mode":"matchingTag"}} []
[2017-10-31 00:39:39] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/Magento/sample_beta/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE_20","FPC"],"mode":"matchingTag"}} []
[2017-10-31 00:39:39] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/Magento/sample_beta/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2017-10-31 00:39:39] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/Magento/sample_beta/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2017-10-31 00:39:39] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/Magento/sample_beta/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2017-10-31 00:39:39] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/Magento/sample_beta/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2017-10-31 00:39:39] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/Magento/sample_beta/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE_27","FPC"],"mode":"matchingTag"}} []
[2017-10-31 00:39:39] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/Magento/sample_beta/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE_27","FPC"],"mode":"matchingTag"}} []
[2017-10-31 00:39:39] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/Magento/sample_beta/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2017-10-31 00:39:39] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/Magento/sample_beta/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2017-10-31 00:39:39] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/Magento/sample_beta/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2017-10-31 00:39:39] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/Magento/sample_beta/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2017-10-31 00:39:39] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/Magento/sample_beta/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE_28","FPC"],"mode":"matchingTag"}} []
[2017-10-31 00:39:39] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/Magento/sample_beta/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE_28","FPC"],"mode":"matchingTag"}} []
[2017-10-31 00:39:39] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/Magento/sample_beta/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2017-10-31 00:39:39] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/Magento/sample_beta/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2017-10-31 00:39:39] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/Magento/sample_beta/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2017-10-31 00:39:39] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/Magento/sample_beta/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2017-10-31 00:39:39] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/Magento/sample_beta/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE_29","FPC"],"mode":"matchingTag"}} []
[2017-10-31 00:39:39] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/Magento/sample_beta/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE_29","FPC"],"mode":"matchingTag"}} []
[2017-10-31 00:39:39] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/Magento/sample_beta/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2017-10-31 00:39:39] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/Magento/sample_beta/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2017-10-31 00:39:39] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/Magento/sample_beta/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2017-10-31 00:39:39] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/Magento/sample_beta/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2017-10-31 00:39:39] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/Magento/sample_beta/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE_30","FPC"],"mode":"matchingTag"}} []
[2017-10-31 00:39:39] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/Magento/sample_beta/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE_30","FPC"],"mode":"matchingTag"}} []
[2017-10-31 00:39:39] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/Magento/sample_beta/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2017-10-31 00:39:39] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/Magento/sample_beta/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2017-10-31 00:39:39] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/Magento/sample_beta/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2017-10-31 00:39:39] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/Magento/sample_beta/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2017-10-31 00:39:39] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/Magento/sample_beta/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE_31","FPC"],"mode":"matchingTag"}} []
[2017-10-31 00:39:39] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/Magento/sample_beta/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE_31","FPC"],"mode":"matchingTag"}} []
[2017-10-31 00:39:39] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/Magento/sample_beta/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2017-10-31 00:39:39] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/Magento/sample_beta/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
